category,cooking_method,cuisine,image,ingredients,prep_time,recipe_name,serves,tags
,"['Wash rice and lentils separately until water runs clear.', 'In a pressure cooker, heat ghee and sauté onions until golden.', 'Add garlic, ginger, and spices, cook for 2 minutes.', 'Add tomatoes and cook until soft.', 'Add lentils and water, pressure cook for 15 minutes.', 'In another pot, cook rice with 2 cups water until done.', 'Temper with cumin seeds and garlic in hot oil.', 'Pour tempering over dal, garnish with coriander.', 'Serve hot dal with rice and pickles.']",['Nepali'],https://delishglobe.com/recipe/nepalese-dal-bhat-lentil-and-rice-platter/,"['1 cup rice', '1 cup lentils (masoor or moong)', '1 onion, finely chopped', '2 tomatoes, chopped', '2 cloves garlic, minced', '1 inch ginger, grated', '1 teaspoon turmeric powder', '1 teaspoon cumin powder', '2 tablespoons ghee or oil', 'Salt to taste', '4 cups water', 'Fresh coriander for garnish']",45 minutes,Dal Bhat,4 servings,"Vegetarian, Comfort Food, Main Course, Healthy"
,"['Mix flour and water to make a smooth dough, cover and rest for 30 minutes.', 'In a bowl, mix chicken, onions, garlic, ginger, and spices.', 'Add soy sauce and coriander, mix well.', 'Roll dough into thin circles (3-inch diameter).', 'Place filling in center, pleat and seal edges.', 'Steam in momo steamer for 15-20 minutes.', 'Serve hot with tomato pickle or sesame chutney.']","['Nepali', 'Tibetan']",https://recipes.timesofindia.com/recipes/chicken-momos/rs60275824.cms,"['500g ground chicken', '2 cups all-purpose flour', '1 onion, finely chopped', '2 tablespoons garlic paste', '1 tablespoon ginger paste', '2 tablespoons cooking oil', '1 teaspoon cumin powder', '1 teaspoon coriander powder', '2 tablespoons soy sauce', 'Salt to taste', 'Black pepper to taste', 'Fresh coriander, chopped', 'Water for dough']",60 minutes,Chicken Momo,6 servings,"Non-Vegetarian, Street Food, Appetizer, Popular"
,"['Boil noodles according to package instructions, drain and set aside.', 'Heat oil in a wok, add garlic and ginger, stir-fry for 30 seconds.', 'Add onions, cook until translucent.', 'Add vegetables, stir-fry on high heat for 3-4 minutes.', 'Add sauces, vinegar, and salt.', 'Add cooked noodles, toss well to combine.', 'Garnish with spring onions and serve hot.']","['Nepali', 'Chinese']",https://vegecravings.com/veg-chow-mein-recipe/,"['400g noodles', '2 cups mixed vegetables (cabbage, carrot, bell peppers)', '1 onion, sliced', '2 cloves garlic, chopped', '1 tablespoon ginger, julienned', '2 tablespoons soy sauce', '1 tablespoon vinegar', '1 teaspoon chili sauce', '2 tablespoons oil', 'Spring onions for garnish', 'Salt to taste']",30 minutes,Vegetable Chowmein,4 servings,"Vegetarian, Quick Meal, Street Food, Chinese Fusion"
,"['Soak rice flour in water for 4 hours, then drain.', 'Mix flour with mashed bananas, sugar, and spices.', 'Add milk to make a thick batter (like pancake batter).', 'Add baking soda and mix well.', 'Heat ghee or oil in a deep pan.', 'Pour batter in circular motion to form ring shapes.', 'Fry until golden brown on both sides.', 'Drain on paper towels and serve warm.']",['Nepali'],https://www.facebook.com/nepaltourismboard/posts/nepal-food-series-sel-rotisel-roti-is-a-traditional-nepali-bread-prepared-during/2817894378247449/,"['3 cups rice flour', '1 cup milk', '1 cup sugar', '2 ripe bananas, mashed', '1 teaspoon cardamom powder', '1/4 teaspoon baking soda', 'Ghee or oil for frying', 'Water as needed']",90 minutes,Sel Roti,10 servings,"Sweet, Festive, Snack, Vegetarian"
,"['Clean and cut chicken into bite-sized pieces.', 'Mix all spices, yogurt, and lemon juice to make marinade.', 'Marinate chicken for at least 2 hours (overnight best).', 'Skewer marinated chicken pieces.', 'Grill over charcoal or in oven until cooked and charred.', 'Brush with mustard oil while grilling.', 'Garnish with fresh coriander and serve hot.']",['Nepali'],https://junifoods.com/chicken-sekuwa-nepali-chicken-skewer-%E0%A4%95%E0%A5%81%E0%A4%96%E0%A5%81%E0%A4%B0%E0%A4%BE%E0%A4%95%E0%A5%8B-%E0%A4%B8%E0%A5%87%E0%A4%95%E0%A5%81%E0%A4%B5%E0%A4%BE/,"['500g chicken pieces', '2 tablespoons mustard oil', '1 tablespoon ginger-garlic paste', '1 teaspoon cumin powder', '1 teaspoon coriander powder', '1/2 teaspoon turmeric', '1 teaspoon chili powder', '2 tablespoons yogurt', '1 tablespoon lemon juice', 'Salt to taste', 'Fresh coriander for garnish']",50 minutes,Chicken Sekuwa,4 servings,"Non-Vegetarian, BBQ, Appetizer, Grilled"
,"['Soak bamboo shoots overnight if using dried ones.', 'Heat oil, add cumin seeds until they splutter.', 'Add onions and garlic, sauté until golden.', 'Add tomatoes and spices, cook until soft.', 'Add potatoes and bamboo shoots, stir well.', 'Add water, simmer until potatoes are cooked.', 'Adjust seasoning, garnish with coriander.', 'Serve hot with rice.']",['Nepali'],https://www.slurrp.com/recipes/aloo-tama-1612538949,"['200g bamboo shoots (tama)', '3 potatoes, cubed', '1 onion, chopped', '2 tomatoes, chopped', '2 cloves garlic, minced', '1 teaspoon turmeric', '1 teaspoon cumin seeds', '2 tablespoons oil', 'Fresh coriander', 'Salt to taste', '4 cups water']",40 minutes,Aloo Tama,4 servings,"Traditional, Vegetarian, Curry, Comfort Food"
,"['Boil milk in a heavy-bottomed pan.', 'Cool until lukewarm (110°F).', 'Add sugar and cardamom powder, mix well.', 'Add yogurt starter, mix gently.', 'Pour into clay pots, cover with lids.', 'Keep in warm place for 6-8 hours to set.', 'Refrigerate for 2 hours before serving.', 'Serve chilled in clay pots.']","['Nepali', 'Newari']",https://eatyourworld.com/destinations/asia/nepal/kathmandu/what-to-eat/juju-dhau/,"['1 liter full-fat milk', '2 tablespoons yogurt (as starter)', '2 tablespoons sugar', '1/4 teaspoon cardamom powder', 'Clay pots for setting']",8 hours,Juju Dhau,6 servings,"Dessert, Vegetarian, Traditional, Fermented"
,"['Boil buffalo meat with salt until tender.', 'Shred or cut into small pieces.', 'In a bowl, mix all spices and oil.', 'Add meat to spice mixture, mix well.', 'Add green chilies and coriander.', 'Drizzle with lemon juice, mix again.', 'Let it marinate for 30 minutes.', 'Serve with beaten rice (chiura) or bread.']","['Nepali', 'Newari']",https://www.facebook.com/groups/lovenepaltravelnepal/posts/2372687099856159/,"['500g buffalo meat', '2 tablespoons mustard oil', '1 tablespoon ginger paste', '1 tablespoon garlic paste', '2 green chilies, chopped', '1 teaspoon turmeric', '1 tablespoon cumin-coriander powder', 'Salt to taste', 'Fresh coriander', 'Lemon juice']",40 minutes,Buff Choila,4 servings,"Non-Vegetarian, Spicy, Traditional, Newari Cuisine"
,"['Soak gundruk in water for 10 minutes, then drain.', 'Heat oil in a pan, sauté onions until golden.', 'Add tomatoes and green chilies, cook until soft.', 'Add turmeric and salt.', 'Add gundruk and water, simmer for 10 minutes.', 'Adjust consistency as preferred.', 'Serve hot with rice or as soup.']",['Nepali'],https://www.thegundruk.com/gundruk-ko-achaar/,"['1 cup dried gundruk', '2 tomatoes, chopped', '1 onion, chopped', '2 green chilies', '1 teaspoon turmeric', '2 tablespoons oil', 'Salt to taste', '4 cups water']",20 minutes,Gundruk,4 servings,"Fermented, Vegetarian, Traditional, Healthy"
,"['Roast sesame seeds and grind coarsely.', 'Mix with chaku, coconut, and cardamom for filling.', 'Make soft dough with rice flour and hot water.', 'Take small portions, shape into cone-like structures.', 'Fill with sweet filling, seal properly.', 'Steam for 15-20 minutes until shiny.', 'Brush with ghee and serve warm.']","['Nepali', 'Newari']",https://delishglobe.com/recipe/nepali-yomari-stuffed-rice-dumpling/,"['2 cups rice flour', '1 cup chaku (molasses)', '1/2 cup sesame seeds', '1/2 cup coconut, grated', '1 teaspoon cardamom powder', 'Water as needed', 'Ghee for greasing']",120 minutes,Yomari,8 servings,"Sweet, Festive, Dessert, Traditional"
