category,cooking_method,cuisine,image,ingredients,prep_time,recipe_name,serves,tags
,"['- Rinse rice and cook in 4 cups water with a pinch of salt until fluffy (15-20 minutes). Keep warm.', 'Rinse lentils. Heat ghee/oil in a pot, add cumin seeds.', 'Add onion, garlic and ginger; sauté until golden. Add tomatoes and all spices, cook until tomatoes soften.', 'Add lentils and 4 cups water. Bring to boil, then simmer 20-25 minutes until soft and creamy. Adjust salt and consistency.', 'Garnish with cilantro and extra ghee. Serve with rice, tarkari and achar.']",['Nepali'],https://images.unsplash.com/photo-1565557623262-b51206e893e7?w=800&q=80,"['2 cups basmati rice', '1 cup red lentils (masoor dal)', '1 large onion finely chopped', '2 tomatoes chopped', '4 cloves garlic minced', '1 inch ginger minced', '1 tsp turmeric powder', '1 tsp cumin seeds', '1 tsp coriander powder', '1/2 tsp red chili powder', '2 tbsp ghee or mustard oil', 'Salt to taste', 'Fresh cilantro chopped', 'Water as needed']",45 minutes,Dal Bhat,4 servings,"Vegetarian, Main Course"
,"['- Rinse rice 2-3 times until water runs clear.', 'In a pot, add rice, water, salt and ghee. Bring to a boil.', 'Reduce heat to low, cover and cook for 15-18 minutes until water is absorbed.', 'Let it rest covered for 5 minutes, then fluff with a fork.', 'Serve hot as base for dal, tarkari or any curry.']",['Nepali'],https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=800&q=80,"['2 cups basmati rice', '4 cups water', '1/2 tsp salt', '1 tsp ghee (optional)']",25 minutes,Bhat - Steamed Rice,4 servings,"Vegetarian, Main Course"
,"['- Rinse lentils well.', 'Heat ghee, temper cumin seeds, then sauté onion, garlic and ginger.', 'Add tomatoes, turmeric, chili powder and salt. Cook 3-4 minutes.', 'Add lentils and water. Pressure cook 10 minutes or simmer 25 minutes until soft.', 'Mash slightly for creamy texture. Garnish with cilantro and a spoon of ghee.']",['Nepali'],https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=800&q=80,"['1 cup red or yellow lentils', '1 onion finely chopped', '2 tomatoes chopped', '3 cloves garlic', '1 inch ginger', '1 tsp turmeric', '1 tsp cumin seeds', '1/2 tsp chili powder', '2 tbsp ghee', 'Salt to taste', 'Fresh cilantro', 'Water (4 cups)']",35 minutes,Dal - Nepali Lentil Soup,4 servings,"Vegetarian, Soup"
,"['- Heat oil, add cumin seeds. Sauté onion until golden.', 'Add tomatoes and all spices, cook until oil separates.', 'Add all vegetables and salt. Stir-fry 2-3 minutes.', 'Add 1 cup water, cover and cook 15-20 minutes until vegetables are tender.', 'Garnish with cilantro. Serve with dal bhat.']",['Nepali'],https://images.unsplash.com/photo-1512058564366-18510be2db19?w=800&q=80,"['2 potatoes cubed', '1 cup cauliflower florets', '1 carrot sliced', '1 cup green beans', '1 onion chopped', '2 tomatoes chopped', '1 tsp cumin seeds', '1 tsp turmeric', '1 tsp coriander powder', '1/2 tsp chili powder', '2 tbsp mustard oil', 'Salt to taste', 'Fresh cilantro']",30 minutes,Tarkari - Mixed Vegetable Curry,4 servings,"Vegetarian, Main Course"
,"['- Bring water and salt to a rolling boil in a heavy pot.', 'Gradually add buckwheat flour while stirring continuously with a wooden spatula to avoid lumps.', 'Cook on medium heat, stirring vigorously for 8-10 minutes until it forms a smooth, firm dough-like consistency.', 'Add ghee and mix well.', 'Serve hot with dal, tarkari or gundruk.']",['Nepali'],https://images.unsplash.com/photo-1574484284002-952d92456975?w=800&q=80,"['2 cups buckwheat flour (kodo or fapar)', '4-5 cups water', '1/2 tsp salt', '2 tbsp ghee', '1 tsp cumin seeds (optional)']",20 minutes,Dhido - Buckwheat Porridge,4 servings,"Vegetarian, Main Course"
,"['- Prepare dhido as in recipe #5.', 'Soak gundruk in warm water for 10 minutes, squeeze out excess water.', 'Heat oil, sauté onion, garlic, cumin. Add tomatoes, turmeric and gundruk. Cook 5-7 minutes.', 'Add a little water if needed for gravy.', 'Serve dhido with this gundruk tarkari on the side.']",['Nepali'],https://images.unsplash.com/photo-1547592180-85f173990554?w=800&q=80,"['2 cups buckwheat flour', '4 cups water', '1 cup gundruk (fermented greens)', '1 onion chopped', '2 tomatoes chopped', '3 cloves garlic', '1 tsp turmeric', '1 tsp cumin', '2 tbsp mustard oil', 'Salt to taste']",25 minutes,Dhido with Gundruk,4 servings,"Vegetarian, Main Course"
,"['- Prepare plain dhido following recipe #5.', 'Prepare simple dal as in recipe #3.', 'Serve hot dhido with generous dal, extra ghee and any achar.']",['Nepali'],https://images.unsplash.com/photo-1596797038530-2c107229654b?w=800&q=80,"['2 cups buckwheat flour for dhido', '1 cup red lentils for dal', '1 onion', '2 tomatoes', '1 tsp turmeric', '1 tsp cumin', '2 tbsp ghee', 'Salt to taste', 'Water']",35 minutes,Dhido with Dal,4 servings,"Vegetarian, Main Course"
,"['- Bring salted water to vigorous boil.', 'Slowly sprinkle millet flour while stirring constantly with wooden spoon.', 'Cook 8-10 minutes on medium heat, stirring vigorously until thick and glossy.', 'Finish with ghee.', 'Serve with meat curry, dal or gundruk.']",['Nepali'],https://images.unsplash.com/photo-1455619452474-d2be8b1ae538?w=800&q=80,"['2 cups finger millet flour (kodo)', '5 cups water', '1/2 tsp salt', '2 tbsp ghee']",20 minutes,Kodo Ko Dhido - Finger Millet Porridge,4 servings,"Vegetarian, Main Course"
,"['- Boil water with salt.', 'Gradually add cornmeal while stirring continuously to prevent lumps.', 'Cook on medium heat for 10-12 minutes until it reaches firm porridge consistency.', 'Add ghee and mix.', 'Traditionally served with spicy tarkari or pickle.']",['Nepali'],https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=800&q=80,"['2 cups cornmeal (makai ko pitho)', '4.5 cups water', '1/2 tsp salt', '2 tbsp ghee or butter']",20 minutes,Makai Ko Dhido - Corn Porridge,4 servings,"Vegetarian, Main Course"
,"['- Soak gundruk in warm water 10 minutes, drain.', 'Heat oil, fry dried chilies and cumin. Add onion and garlic, sauté.', 'Add tomatoes, turmeric and gundruk. Cook 5 minutes.', 'Add water and salt. Boil then simmer 15 minutes.', 'Serve hot as soup with rice or dhido.']",['Nepali'],https://images.unsplash.com/photo-1490645935967-10de6ba17061?w=800&q=80,"['1 cup gundruk', '1 onion chopped', '2 tomatoes chopped', '3 cloves garlic minced', '1 tsp turmeric', '1 tsp cumin seeds', '2 dried red chilies', '2 tbsp mustard oil', 'Salt to taste', '4 cups water']",30 minutes,Gundruk Ko Jhol,4 servings,"Vegetarian, Soup"
,"['- Soak gundruk, squeeze dry and chop coarsely.', 'In a bowl mix gundruk with onion, chilies, timur, chili powder and salt.', 'Heat mustard oil until smoking, pour over the mixture.', 'Add lemon juice and cilantro, mix well.', 'Serve as side with dal bhat or rice.']",['Nepali'],https://images.unsplash.com/photo-1540189549336-e6e99e49c67f?w=800&q=80,"['1.5 cups gundruk soaked and squeezed', '1 small onion finely sliced', '2-3 green chilies chopped', '1 tsp timur (Szechuan pepper)', '1/2 tsp chili powder', '2 tbsp mustard oil', 'Salt to taste', 'Fresh cilantro', '1 tsp lemon juice']",15 minutes,Gundruk Sadeko - Spicy Fermented Greens Salad,4 servings,"Vegetarian, Main Course"
,"['- Soak sinki in warm water for 15 minutes.', 'Heat oil, temper cumin, sauté onion, garlic, ginger.', 'Add tomatoes, turmeric, sinki and salt. Cook 5 minutes.', 'Add water and simmer 15-20 minutes.', 'Serve hot as soup.']",['Nepali'],https://images.unsplash.com/photo-1476224203421-74177f9f4a76?w=800&q=80,"['1 cup sinki (dried fermented radish)', '1 onion chopped', '2 tomatoes', '4 cloves garlic', '1 inch ginger', '1 tsp turmeric', '2 tbsp mustard oil', '1 tsp cumin', 'Salt to taste', '4-5 cups water']",30 minutes,Sinki Ko Jhol - Fermented Radish Soup,4 servings,"Vegetarian, Soup"
,"['- Roast tomatoes on flame or boil until skin peels. Chop.', 'Mix chopped tomatoes with onion, chilies, garlic, timur and salt.', 'Heat mustard oil till smoking, pour over mixture. Add cilantro.', 'Mix well. Let rest 10 minutes.', 'Serve with hot steamed rice.']",['Nepali'],https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800&q=80,"['4 large ripe tomatoes', '1 onion finely chopped', '4 green chilies', '3 cloves garlic', '1 tsp timur', '2 tbsp mustard oil', 'Salt to taste', 'Fresh cilantro', '2 cups cooked rice']",25 minutes,Golbheda Ko Achar with Rice - Tomato Pickle with Rice,4 servings,"Vegetarian, Main Course"
,"['- Heat oil, add cumin. Sauté onion and chilies.', 'Add tomatoes and spices, cook until soft.', 'Add potatoes and salt. Stir 2 minutes.', 'Add 1 cup water, cover and cook 15-20 minutes until potatoes are done.', 'Garnish and serve with dal bhat.']",['Nepali'],https://images.unsplash.com/photo-1482049016688-2d3e1b311543?w=800&q=80,"['5 medium potatoes cubed', '1 large onion chopped', '2 tomatoes chopped', '2 green chilies', '1 tsp cumin seeds', '1 tsp turmeric', '1 tsp coriander powder', '1/2 tsp chili powder', '2 tbsp mustard oil', 'Salt to taste', 'Cilantro']",30 minutes,Alu Tarkari,4 servings,"Vegetarian, Main Course"
,"['- Boil soaked bodi until soft.', 'Heat oil, sauté onion, add tomatoes and spices.', 'Add potatoes, bodi, tama and salt. Stir-fry.', 'Add water and simmer 20-25 minutes until gravy thickens.', 'Serve with rice.']",['Nepali'],https://images.unsplash.com/photo-1473093295043-cdd812d0e601?w=800&q=80,"['3 potatoes cubed', '1/2 cup dried bodi (black eyed peas) soaked overnight', '1 cup tama (bamboo shoot) sliced', '1 onion', '2 tomatoes', '1 tsp turmeric', '1 tsp cumin', '2 tbsp mustard oil', 'Salt to taste', 'Green chilies']",40 minutes,"Alu Bodi Tama - Potato, Black Eyed Peas & Bamboo Shoot Curry",4 servings,"Vegetarian, Main Course"
